idx,task,n_in,n_out
0,gsm8k,309,147
1,gsm8k,301,220
2,gsm8k,346,256
3,gsm8k,321,242
4,gsm8k,304,188
5,gsm8k,343,256
6,gsm8k,319,256
7,gsm8k,338,207
8,gsm8k,327,213
9,gsm8k,322,206
10,gsm8k,309,244
11,gsm8k,305,256
12,gsm8k,320,195
13,gsm8k,319,256
14,gsm8k,374,174
15,gsm8k,342,256
16,gsm8k,313,256
17,gsm8k,339,256
18,gsm8k,318,231
19,gsm8k,302,169
20,gsm8k,321,253
21,gsm8k,302,177
22,gsm8k,311,188
23,gsm8k,325,226
24,gsm8k,342,251
25,gsm8k,335,184
26,gsm8k,313,166
27,gsm8k,347,185
28,gsm8k,295,213
29,gsm8k,324,209
30,gsm8k,319,179
31,gsm8k,307,158
32,gsm8k,300,212
33,gsm8k,324,233
34,gsm8k,329,256
35,gsm8k,343,256
36,gsm8k,369,256
37,gsm8k,376,256
38,gsm8k,334,256
39,gsm8k,338,239
40,gsm8k,340,256
41,gsm8k,341,256
42,gsm8k,333,256
43,gsm8k,308,169
44,gsm8k,334,207
45,gsm8k,358,256
46,gsm8k,319,224
47,gsm8k,310,207
48,gsm8k,324,256
49,gsm8k,302,168
50,gsm8k,316,256
51,gsm8k,330,213
52,gsm8k,311,191
53,gsm8k,313,205
54,gsm8k,330,147
55,gsm8k,309,138
56,gsm8k,359,256
57,gsm8k,310,198
58,gsm8k,299,179
59,gsm8k,319,256
60,gsm8k,309,201
61,gsm8k,335,158
62,gsm8k,348,256
63,gsm8k,305,256
64,gsm8k,327,256
65,gsm8k,304,256
66,gsm8k,312,176
67,gsm8k,324,155
68,gsm8k,308,229
69,gsm8k,325,240
70,gsm8k,296,164
71,gsm8k,326,221
72,gsm8k,329,256
73,gsm8k,334,226
74,gsm8k,324,256
75,mmlu,567,256
76,mmlu,582,256
77,mmlu,601,2
78,mmlu,579,221
79,mmlu,567,256
80,mmlu,630,256
81,mmlu,564,98
82,mmlu,575,2
83,mmlu,565,2
84,mmlu,576,256
85,mmlu,570,2
86,mmlu,608,2
87,mmlu,586,102
88,mmlu,608,2
89,mmlu,609,256
90,mmlu,600,2
91,mmlu,567,2
92,mmlu,582,2
93,mmlu,579,2
94,mmlu,586,2
95,mmlu,594,57
96,mmlu,597,2
97,mmlu,578,2
98,mmlu,596,2
99,mmlu,597,2
100,mmlu,588,2
101,mmlu,601,2
102,mmlu,605,2
103,mmlu,613,2
104,mmlu,562,256
105,mmlu,565,256
106,mmlu,582,256
107,mmlu,553,256
108,mmlu,566,2
109,mmlu,609,256
110,mmlu,583,256
111,mmlu,558,256
112,mmlu,607,2
113,mmlu,573,2
114,mmlu,608,2
115,mmlu,584,2
116,mmlu,586,2
117,mmlu,571,86
118,mmlu,608,2
119,mmlu,570,256
120,mmlu,609,2
121,mmlu,574,2
122,mmlu,572,89
123,mmlu,571,6
124,mmlu,603,2
125,mmlu,558,162
126,mmlu,582,2
127,mmlu,578,2
128,mmlu,554,256
129,mmlu,582,2
130,mmlu,598,2
131,mmlu,597,2
132,mmlu,578,2
133,mmlu,599,2
134,mmlu,595,2
135,mmlu,582,256
136,mmlu,557,142
137,mmlu,569,2
138,mmlu,607,2
139,mmlu,585,2
140,mmlu,605,256
141,mmlu,594,2
142,mmlu,580,2
143,mmlu,575,102
144,mmlu,562,256
145,mmlu,566,256
146,mmlu,558,172
147,mmlu,598,2
148,mmlu,585,2
149,mmlu,598,2
